Indicator Name,Indicator Code,Country Name,Country Code,2008,2009,2010,2011
GDP (constant 2000 US$),NY.GDP.MKTP.KD,United Arab Emirates,ARE,1.59E+11,1.56E+11,1.58E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,United Kingdom,GBR,1.79E+12,1.71E+12,1.74E+12,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,United States,USA,1.17E+13,1.13E+13,1.16E+13,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Uruguay,URY,28008205750,28731202857,31164067816,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Uzbekistan,UZB,22931837238,24789316054,26896407919,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Vanuatu,VUT,347592314.1,359588761.9,370549549.6,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Venezuela, RB",VEN,1.67E+11,1.62E+11,1.59E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Vietnam,VNM,55866678639,58840794627,62832215474,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Virgin Islands (U.S.),VIR,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,West Bank and Gaza,WBG,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Yemen, Rep.",YEM,12833037733,13315046630,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Zambia,ZMB,4879795903,5192250555,5587389858,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Zimbabwe,ZWE,3532758357,3744723859,4081749006,
GDP (current US$),NY.GDP.MKTP.CD,World,WLD,6.13E+13,5.81E+13,6.31E+13,
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,11940296131,14213670485,17243112604,
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,12968653525,12044881925,11786099138,
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,1.71E+11,1.41E+11,1.59E+11,
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,,,,
GDP (current US$),NY.GDP.MKTP.CD,Andorra,ADO,3712034267,,,
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,84178512502,75492890278,84390572977,
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1378060572,1253197123,1211324626,
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,3.27E+11,3.07E+11,3.69E+11,
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,11662017845,8648015305,9371187176,
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,,,,
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1.04E+12,9.25E+11,,
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,4.14E+11,3.82E+11,3.79E+11,
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,48852482960,44291490421,51774221669,
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,7297903886,7077192101,7538000000,
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,21902892584,20594899946,,
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,79554350678,89359767442,1.00E+11,
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,3670215313,3595210913,4109500000,
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,60763483146,49271267252,54713128376,
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,5.07E+11,4.73E+11,4.69E+11,
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,1358700000,1349000000,1401000000,
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,6682744914,6638062120,6633055846,
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,6067898000,5715300000,,
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,1257478741,1264687048,1516078205,
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,16675015771,17339992191,19649724656,
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,18512268574,17049506357,16577887610,
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,13473345713,11473685551,14857275330,
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1.65E+12,1.59E+12,2.09E+12,
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,14393099069,10732435034,,
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,51824867627,48568714012,47714490183,
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,8045823005,8140859746,8820312674,
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,1168900171,1330790160,1610544922,
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,10351829066,10401935532,11242266334,
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,23735512829,22185977547,22393529278,
